Date,Income
2024/6/1,65252.65
2024/6/2,54026.49
2024/6/3,79187.02
2024/6/4,47695.21
2024/6/5,67104.14
2024/6/6,74663.85
2024/6/7,51096.25
2024/6/8,80323.4
2024/6/9,50375.08
2024/6/10,55599.7
2024/6/11,75265.61
2024/6/12,50031.520000000004
2024/6/13,47393.34
2024/6/14,69313.53
2024/6/15,38828.45
2024/6/16,63387.68
2024/6/17,40704.5
2024/6/18,63726.53999999999
2024/6/19,87604.74
2024/6/20,47701.27
2024/6/21,55943.090000000004
2024/6/22,74916.08
2024/6/23,36055.549999999996
2024/6/24,33310.85
2024/6/25,44259.22
2024/6/26,50701.04
2024/6/27,77372.74
2024/6/28,50835.46
2024/6/29,66552.83
2024/6/30,63900.37
2024/7/1,80359.67
2024/7/2,69664.11
2024/7/3,75301.84
2024/7/4,78260.83
2024/7/5,65058.49
2024/7/6,76407.43000000001
2024/7/7,38554.35
2024/7/8,72990.75
2024/7/9,35596.16
2024/7/10,55837.979999999996
2024/7/11,41996.18
2024/7/12,43909.79
2024/7/13,87015.39
2024/7/14,54503.17
2024/7/15,45023.29
2024/7/16,48552.64
2024/7/17,61547.66
2024/7/18,77118.95
2024/7/19,96184.24
2024/7/20,36598.99
2024/7/21,48599.93
2024/7/22,72261.57
2024/7/23,88782.94
2024/7/24,73749.26
2024/7/25,50821.47
2024/7/26,63501.51
2024/7/27,88991.59
2024/7/28,75810.2
2024/7/29,66961.79
2024/7/30,67756.6
2024/7/31,98701.39
2024/8/1,49068.87
2024/8/2,53985.5
2024/8/3,83161.19
2024/8/4,58856.770000000004
2024/8/5,63698.45
2024/8/6,62982.06
2024/8/7,33533.96
2024/8/8,48463.46
2024/8/9,54374.29
2024/8/10,38576.39
2024/8/11,74634.98
2024/8/12,81175.59
2024/8/13,79498.34
2024/8/14,67867.39
2024/8/15,64824.69
2024/8/16,40959.04
2024/8/17,42385.06
2024/8/18,39045.86
2024/8/19,46571.15
2024/8/20,50796.69
2024/8/21,74745
2024/8/22,52990.159999999996
2024/8/23,69713.56
2024/8/24,91119.83
2024/8/25,59400.2
2024/8/26,75828.03
2024/8/27,42922.71
2024/8/28,44598.95
2024/8/29,36803.21
2024/8/30,70241.38
2024/8/31,77295.56
2024/9/1,38388.49
2024/9/2,51808.13
2024/9/3,41591.729999999996
2024/9/4,60597.11
2024/9/5,56448.909999999996
2024/9/6,37811.18
2024/9/7,52054.369999999995
2024/9/8,64175.7
2024/9/9,80016.48
2024/9/10,54634.8
2024/9/11,37717.82
2024/9/12,69721.07
2024/9/13,86041.23
2024/9/14,38638
2024/9/15,72915.3
2024/9/16,69273.84
2024/9/17,52003.92
2024/9/18,52761.53
2024/9/19,64610.19
2024/9/20,45210.43
2024/9/21,81824
2024/9/22,52954.01
2024/9/23,79947.38
2024/9/24,65184.44
2024/9/25,71433.99
2024/9/26,67926.18
2024/9/27,74373.44
2024/9/28,66842.22
2024/9/29,70190.66
2024/9/30,52553.49
2024/10/1,67313.14
2024/10/2,82808.29
2024/10/3,34106.88
2024/10/4,75577.59
2024/10/5,57057.07
2024/10/6,42142.66
2024/10/7,68452.59
2024/10/8,50089.05
2024/10/9,76488.29
2024/10/10,52999.02
2024/10/11,36074.770000000004
2024/10/12,68218.07
2024/10/13,78882.99
2024/10/14,57567.36
2024/10/15,82807.4
2024/10/16,39053.8
2024/10/17,54122.130000000005
2024/10/18,64107.32
2024/10/19,39919.83
2024/10/20,44907.43
2024/10/21,80499.44
2024/10/22,33450.299999999996
2024/10/23,81412.55
2024/10/24,47123.52
2024/10/25,57451.14
2024/10/26,46104.26
2024/10/27,70135.27
2024/10/28,89340.52
2024/10/29,60525.61
2024/10/30,90769.1
2024/10/31,62224.44
2024/11/1,69960.85
2024/11/2,38027.34
2024/11/3,40939.98
2024/11/4,66193.35
2024/11/5,37148.1
2024/11/6,77893.04000000001
2024/11/7,51777.45
2024/11/8,82525.69
2024/11/9,76204.17
2024/11/10,70393.11
2024/11/11,67338.82
2024/11/12,50742.35
2024/11/13,41995.49
2024/11/14,91031.16
2024/11/15,58764.100000000006
2024/11/16,82676.99
2024/11/17,58508.28
2024/11/18,60002.3
2024/11/19,65691.67
2024/11/20,58320.57
2024/11/21,35814.47
2024/11/22,28542.09
2024/11/23,37660.15
2024/11/24,72987.16
2024/11/25,48313.22
2024/11/26,48007.05
2024/11/27,65742.2
2024/11/28,66247.07
2024/11/29,73840.13
2024/11/30,41436.3
2024/12/1,71989.82
2024/12/2,68805.95
2024/12/3,77330.27
2024/12/4,51754.64
2024/12/5,84298.6
2024/12/6,57923.41
2024/12/7,74302.68000000001
2024/12/8,40402.05
2024/12/9,62479.740000000005
2024/12/10,56883.24
2024/12/11,54542.68
2024/12/12,66434.61
2024/12/13,52613.51
2024/12/14,48187.66
2024/12/15,46595.94
2024/12/16,52277.979999999996
2024/12/17,42641.59
2024/12/18,51635.38
2024/12/19,47831.89
2024/12/20,89966.49
2024/12/21,38971.67
2024/12/22,42463.71
2024/12/23,68559.84999999999
2024/12/24,58841.47
2024/12/25,42617.119999999995
2024/12/26,33737.61
2024/12/27,85493.06999999999
2024/12/28,42692.88
2024/12/29,47646.240000000005
2024/12/30,52443.55
2024/12/31,33338.51
2025/1/1,49818.42
2025/1/2,60611.85
2025/1/3,40777.06
2025/1/4,55177.740000000005
2025/1/5,36287.22
2025/1/6,41234.65
2025/1/7,40344.06
2025/1/8,75854.04
2025/1/9,74988.17
2025/1/10,36750.12
2025/1/11,71956.63
2025/1/12,43249.869999999995
2025/1/13,61606.67
2025/1/14,66364.23999999999
2025/1/15,44874.62
2025/1/16,55061.56
2025/1/17,27953.079999999998
2025/1/18,74906.06
2025/1/19,60262.32
2025/1/20,86807.03
2025/1/21,62238.86
2025/1/22,46926.94
2025/1/23,38248.39
2025/1/24,52170.84
2025/1/25,61631.57
2025/1/26,66845.47
2025/1/27,77226.69
2025/1/28,32136.77
2025/1/29,51823.74
2025/1/30,84555.55
2025/1/31,42377.47
2025/2/1,78195.2
2025/2/2,73462.47
2025/2/3,53961.05
2025/2/4,69629.68
2025/2/5,46053.03
2025/2/6,34376.74
2025/2/7,24455.53
2025/2/8,73332.6
2025/2/9,38133.4
2025/2/10,84423.87
2025/2/11,39598.21
2025/2/12,74047.02
2025/2/13,49366.22
2025/2/14,53553.39
2025/2/15,54448.72
2025/2/16,69629.19
2025/2/17,79825.6
2025/2/18,72387.04
2025/2/19,83764.77
2025/2/20,47297.61
2025/2/21,66066.22
