日期,收入金额,客户类型,收入渠道,业务标签
2024-06-01,5220.3,合作伙伴,微信,广告收入
2024-06-01,8797.26,新客户,微信,服务费
2024-06-01,8981.45,老客户,银行转账,服务费
2024-06-01,5677.04,老客户,POS机,平台分成
2024-06-01,11655.95,新客户,银行转账,销售收入
2024-06-01,11846.79,合作伙伴,微信,广告收入
2024-06-01,6929.88,合作伙伴,POS机,平台分成
2024-06-01,6143.98,合作伙伴,支付宝,平台分成
2024-06-02,8356.16,合作伙伴,银行转账,销售收入
2024-06-02,7913.37,合作伙伴,微信,销售收入
2024-06-02,7266.5,老客户,银行转账,平台分成
2024-06-02,7925.4,新客户,支付宝,平台分成
2024-06-02,8727.59,合作伙伴,微信,服务费
2024-06-02,6411.1,合作伙伴,银行转账,广告收入
2024-06-02,7426.37,老客户,POS机,平台分成
2024-06-03,8973.37,老客户,支付宝,服务费
2024-06-03,8546.6,合作伙伴,POS机,服务费
2024-06-03,10204.4,合作伙伴,支付宝,服务费
2024-06-03,7710.88,新客户,POS机,平台分成
2024-06-03,7247.24,新客户,微信,服务费
2024-06-03,4633.3,新客户,POS机,销售收入
2024-06-03,5798.52,合作伙伴,银行转账,销售收入
2024-06-03,6307.69,合作伙伴,POS机,广告收入
2024-06-03,9529.19,新客户,微信,服务费
2024-06-03,10235.83,老客户,银行转账,广告收入
2024-06-04,9887.49,合作伙伴,银行转账,销售收入
2024-06-04,4229.62,合作伙伴,POS机,广告收入
2024-06-04,10749.12,新客户,支付宝,广告收入
2024-06-04,4064.61,新客户,微信,广告收入
2024-06-04,9594.88,合作伙伴,银行转账,平台分成
2024-06-04,9169.49,合作伙伴,微信,平台分成
2024-06-05,9840.31,合作伙伴,银行转账,广告收入
2024-06-05,7623.67,合作伙伴,微信,服务费
2024-06-05,5586.11,新客户,微信,服务费
2024-06-05,12485.7,合作伙伴,银行转账,广告收入
2024-06-05,9451.72,合作伙伴,银行转账,广告收入
2024-06-05,12057.3,老客户,POS机,平台分成
2024-06-05,10059.33,老客户,银行转账,销售收入
2024-06-06,8642.79,老客户,POS机,平台分成
2024-06-06,8786.28,老客户,微信,广告收入
2024-06-06,7226.78,新客户,银行转账,销售收入
2024-06-06,9682.81,老客户,微信,销售收入
2024-06-06,8740.3,老客户,微信,服务费
2024-06-06,8652.64,新客户,微信,平台分成
2024-06-06,7011.21,合作伙伴,POS机,广告收入
2024-06-06,7277.16,新客户,支付宝,服务费
2024-06-06,8643.88,老客户,POS机,广告收入
2024-06-07,7813.89,新客户,微信,销售收入
2024-06-07,8150.58,合作伙伴,支付宝,销售收入
2024-06-07,14158.11,新客户,POS机,销售收入
2024-06-07,6563.23,老客户,POS机,服务费
2024-06-07,6946.25,合作伙伴,支付宝,服务费
2024-06-07,7464.19,合作伙伴,银行转账,平台分成
2024-06-08,6277.01,老客户,POS机,平台分成
2024-06-08,11045.13,新客户,POS机,销售收入
2024-06-08,7026.35,合作伙伴,POS机,平台分成
2024-06-08,9974.18,合作伙伴,POS机,服务费
2024-06-08,9078.72,老客户,微信,广告收入
2024-06-08,6659.6,新客户,微信,销售收入
2024-06-08,10741.32,合作伙伴,POS机,平台分成
2024-06-08,9204.95,新客户,银行转账,平台分成
2024-06-08,10316.14,合作伙伴,微信,平台分成
2024-06-09,10033.79,新客户,支付宝,服务费
2024-06-09,4922.84,新客户,POS机,平台分成
2024-06-09,10501.21,新客户,微信,销售收入
2024-06-09,8381.05,合作伙伴,微信,服务费
2024-06-09,8271.78,新客户,支付宝,服务费
2024-06-09,8264.41,合作伙伴,POS机,销售收入
2024-06-10,8565.72,老客户,微信,销售收入
2024-06-10,10118.5,新客户,微信,销售收入
2024-06-10,5536.55,老客户,支付宝,广告收入
2024-06-10,5265.15,新客户,POS机,销售收入
2024-06-10,4674.81,合作伙伴,POS机,广告收入
2024-06-10,7936.78,新客户,银行转账,服务费
2024-06-10,7386.53,老客户,微信,平台分成
2024-06-10,6115.66,老客户,支付宝,平台分成
2024-06-11,10276.28,老客户,微信,销售收入
2024-06-11,7925.69,新客户,支付宝,服务费
2024-06-11,10125.3,新客户,POS机,服务费
2024-06-11,8985.85,合作伙伴,微信,服务费
2024-06-11,5322.77,老客户,POS机,销售收入
2024-06-11,9206.18,新客户,支付宝,平台分成
2024-06-11,7689.67,合作伙伴,银行转账,广告收入
2024-06-11,9850.85,新客户,POS机,服务费
2024-06-11,5883.02,新客户,微信,服务费
2024-06-12,4212.88,老客户,POS机,销售收入
2024-06-12,10740.82,老客户,微信,服务费
2024-06-12,7161.47,合作伙伴,支付宝,平台分成
2024-06-12,4735.76,老客户,支付宝,平台分成
2024-06-12,6123.1,新客户,银行转账,销售收入
2024-06-12,5602.48,老客户,银行转账,广告收入
2024-06-12,11455.01,合作伙伴,支付宝,平台分成
2024-06-13,6167.62,新客户,微信,服务费
2024-06-13,8488.37,新客户,银行转账,服务费
2024-06-13,10385.0,合作伙伴,POS机,广告收入
2024-06-13,9628.48,老客户,微信,平台分成
2024-06-13,12723.87,新客户,微信,平台分成
2024-06-14,6310.49,老客户,银行转账,平台分成
2024-06-14,6968.1,老客户,支付宝,广告收入
2024-06-14,9489.11,合作伙伴,支付宝,服务费
2024-06-14,10415.98,新客户,POS机,广告收入
2024-06-14,6722.64,老客户,POS机,销售收入
2024-06-14,7063.7,合作伙伴,微信,服务费
2024-06-14,4771.96,新客户,POS机,平台分成
2024-06-14,2937.14,合作伙伴,银行转账,广告收入
2024-06-14,8466.14,老客户,POS机,广告收入
2024-06-14,6168.27,合作伙伴,支付宝,广告收入
2024-06-15,6554.31,新客户,POS机,销售收入
2024-06-15,7164.38,老客户,支付宝,平台分成
2024-06-15,7205.38,新客户,POS机,服务费
2024-06-15,8459.64,合作伙伴,银行转账,服务费
2024-06-15,9444.74,新客户,微信,平台分成
2024-06-16,4201.58,合作伙伴,POS机,销售收入
2024-06-16,6789.41,新客户,支付宝,销售收入
2024-06-16,7406.52,老客户,支付宝,服务费
2024-06-16,12680.01,合作伙伴,银行转账,服务费
2024-06-16,7368.58,老客户,微信,平台分成
2024-06-16,4880.54,新客户,支付宝,服务费
2024-06-16,7678.97,合作伙伴,支付宝,平台分成
2024-06-16,6835.84,新客户,POS机,服务费
2024-06-16,5546.23,合作伙伴,POS机,平台分成
2024-06-17,9155.26,合作伙伴,POS机,服务费
2024-06-17,3256.56,新客户,POS机,销售收入
2024-06-17,11201.35,合作伙伴,银行转账,广告收入
2024-06-17,7620.54,老客户,银行转账,广告收入
2024-06-17,9470.79,新客户,POS机,销售收入
2024-06-18,8702.48,老客户,银行转账,服务费
2024-06-18,6443.25,老客户,银行转账,平台分成
2024-06-18,6444.41,老客户,银行转账,销售收入
2024-06-18,7111.28,新客户,微信,服务费
2024-06-18,10032.16,老客户,银行转账,销售收入
2024-06-18,9574.07,合作伙伴,银行转账,销售收入
2024-06-18,6461.89,合作伙伴,银行转账,服务费
2024-06-18,8957.0,合作伙伴,POS机,平台分成
2024-06-19,9911.2,新客户,微信,广告收入
2024-06-19,5222.09,老客户,银行转账,销售收入
2024-06-19,7185.07,老客户,银行转账,销售收入
2024-06-19,16134.96,合作伙伴,微信,销售收入
2024-06-19,6971.77,老客户,POS机,广告收入
2024-06-19,10460.06,合作伙伴,POS机,平台分成
2024-06-19,5954.45,新客户,微信,服务费
2024-06-19,13230.97,新客户,微信,服务费
2024-06-19,12534.17,新客户,微信,平台分成
2024-06-20,9011.46,新客户,POS机,销售收入
2024-06-20,7353.96,老客户,POS机,销售收入
2024-06-20,10958.71,合作伙伴,支付宝,平台分成
2024-06-20,8110.88,合作伙伴,支付宝,服务费
2024-06-20,5059.68,新客户,POS机,销售收入
2024-06-20,7206.58,新客户,微信,销售收入
2024-06-21,9146.1,老客户,POS机,服务费
2024-06-21,2907.31,合作伙伴,支付宝,广告收入
2024-06-21,11925.08,合作伙伴,支付宝,销售收入
2024-06-21,7953.72,新客户,支付宝,广告收入
2024-06-21,7278.35,合作伙伴,银行转账,销售收入
2024-06-21,5239.45,合作伙伴,银行转账,服务费
